configuration,"instruction type: [3, 3]",traffic const: 0.75,13500.0 cars / hour
car id,turn type,lane,optimal travel time,actual travel time,delay
0,3,straight,4.614655226264967,16.400000000000002,11.785344773735035
1,3,straight,5.203826083949019,16.2,10.996173916050981
2,3,straight,5.249665474521038,22.200000000000003,16.950334525478965
3,1,left,5.124184634631903,15.3,10.175815365368098
4,3,straight,4.707831819299552,15.4,10.692168180700449
5,2,straight,5.201885950339807,15.0,9.798114049660192
6,1,left,4.460743854156721,17.8,13.33925614584328
7,2,straight,4.641371591284531,16.3,11.658628408715469
8,3,straight,4.8126556185410765,14.700000000000001,9.887344381458924
9,1,left,4.785277650345697,13.8,9.014722349654303
10,2,straight,4.8402600337848165,18.7,13.859739966215184
11,2,straight,4.68266591727952,12.600000000000001,7.9173340827204814
12,2,straight,4.852155705241578,24.8,19.947844294758422
13,2,straight,4.472763613467567,18.5,14.027236386532433
14,3,straight,4.571674489236849,13.700000000000001,9.128325510763151
15,2,straight,4.627798639860053,16.5,11.872201360139947
16,2,straight,4.955669252381068,31.1,26.144330747618934
17,3,straight,4.6535058323273475,13.4,8.746494167672653
18,2,straight,4.905393093384023,30.1,25.194606906615977
19,3,straight,4.653170860331881,18.400000000000002,13.746829139668122
20,1,left,4.424821398242761,14.100000000000001,9.67517860175724
21,3,straight,4.550031466233238,13.100000000000001,8.549968533766762
22,1,left,4.577884175097455,17.8,13.222115824902545
23,1,left,4.400715415503146,12.9,8.499284584496856
24,1,left,4.543694753197446,15.5,10.956305246802554
25,2,straight,4.339243916063781,21.1,16.760756083936222
26,1,left,4.552117586320344,16.6,12.047882413679657
27,3,straight,4.632330967850453,15.0,10.367669032149546
28,1,left,4.449041257887208,20.5,16.05095874211279
29,3,straight,4.54038603655122,17.900000000000002,13.359613963448783
30,1,left,4.460676475767827,17.8,13.339323524232174
31,1,left,4.3184459720588775,25.200000000000003,20.881554027941124
32,1,left,4.561646701795236,24.0,19.438353298204763
33,1,left,4.887835654925911,27.5,22.61216434507409
34,3,straight,4.413627951946899,17.2,12.7863720480531
35,3,straight,4.491103065146548,23.400000000000002,18.908896934853455
36,3,straight,4.583429017212085,29.700000000000003,25.11657098278792
37,3,straight,4.468081118796118,33.9,29.43191888120388
38,1,left,4.242123178805425,20.0,15.757876821194575
39,2,straight,4.345618393973453,13.700000000000001,9.354381606026548
40,3,straight,4.339226925677203,18.3,13.960773074322798
41,2,straight,4.659748177087425,28.400000000000002,23.740251822912576
42,1,left,4.2299685079949105,18.2,13.970031492005088
43,2,straight,4.265233124209928,33.1,28.834766875790073
44,3,straight,4.358958958915631,17.8,13.44104104108437
45,1,left,4.589410467179879,28.200000000000003,23.610589532820125
46,3,straight,4.262050931047038,12.200000000000001,7.937949068952963
47,2,straight,4.265330335539251,12.0,7.734669664460749
48,2,straight,4.6323348501831,35.1,30.467665149816902
49,3,straight,4.906677098310294,32.6,27.693322901689708
50,1,left,4.186136298011768,15.9,11.713863701988233
51,2,straight,4.284374106562804,16.5,12.215625893437196
52,3,straight,4.244765602118146,21.700000000000003,17.455234397881856
53,1,left,4.214976861547623,22.3,18.085023138452378
54,3,straight,4.547653977508885,18.400000000000002,13.852346022491117
55,3,straight,4.241375961826081,17.1,12.858624038173922
56,1,left,4.6182081150634025,20.8,16.181791884936597
57,3,straight,4.263045637528641,23.6,19.33695436247136
58,1,left,4.1862389922042365,16.2,12.013761007795763
59,3,straight,4.993622842794305,38.800000000000004,33.8063771572057
60,1,left,4.5895019786239475,20.0,15.410498021376053
61,2,straight,4.265836983610913,21.8,17.534163016389087
62,1,left,4.700938381299056,26.1,21.399061618700944
63,1,left,4.876029357994583,32.300000000000004,27.423970642005422
64,2,straight,4.270603949881743,18.3,14.029396050118258
65,3,straight,4.2197479284481805,16.2,11.980252071551819
66,1,left,4.1414148367435715,31.400000000000002,27.25858516325643
67,1,left,4.189429495433,13.3,9.110570504567
68,2,straight,4.281238395859564,23.900000000000002,19.61876160414044
69,2,straight,4.220795442784443,18.400000000000002,14.17920455721556
70,3,straight,4.396764074468519,36.7,32.30323592553148
71,3,straight,4.219808485664181,28.700000000000003,24.48019151433582
72,1,left,4.215106223494546,22.5,18.284893776505456
73,1,left,4.555564697850604,18.900000000000002,14.344435302149398
74,3,straight,4.29870160218079,23.8,19.501298397819212
75,1,left,4.264102312223595,34.4,30.135897687776403
